0, 1, './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00001.png', './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00002.png', 5.12946102588828
1, 2, './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00002.png', './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00003.png', 4.3111099971394
2, 3, './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00003.png', './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00004.png', 4.482017625267602
3, 4, './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00004.png', './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00005.png', 4.709364406827107
4, 5, './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00005.png', './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00006.png', 4.113892789258392
5, 6, './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00006.png', './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00007.png', 3.643572069153102
6, 7, './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00007.png', './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00008.png', 3.768382614048701
7, 8, './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00008.png', './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00009.png', 4.914232786817646
8, 9, './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00009.png', './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00010.png', 4.713670305472509
9, 10, './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00010.png', './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00011.png', 4.3491112159316945
10, 11, './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00011.png', './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00012.png', 5.205979825901517
11, 12, './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00012.png', './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00013.png', 3.964396429767412
12, 13, './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00013.png', './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00014.png', 5.2396946340210455
13, 14, './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00014.png', './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00015.png', 5.1843275873528745
14, 15, './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00015.png', './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00016.png', 4.442348258778027
15, 16, './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00016.png', './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00017.png', 4.787729580112983
16, 17, './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00017.png', './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00018.png', 4.989748273740086
17, 18, './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00018.png', './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00019.png', 5.352965285340962
18, 19, './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00019.png', './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00020.png', 4.555330177953877
19, 20, './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00020.png', './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00021.png', 5.200330540165261
20, 21, './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00021.png', './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00022.png', 4.528730477490466
21, 22, './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00022.png', './GTEA61/flow_y_processed/S4/scoop_sugar,spoon/1/flow_y_00023.png', 5.236545230502551
