0, 1, './GTEA61/flow_x_processed/S3/pour_water,cup/1/flow_x_00001.png', './GTEA61/flow_x_processed/S3/pour_water,cup/1/flow_x_00002.png', 4.566907114842859
1, 2, './GTEA61/flow_x_processed/S3/pour_water,cup/1/flow_x_00002.png', './GTEA61/flow_x_processed/S3/pour_water,cup/1/flow_x_00003.png', 3.830021567864738
2, 3, './GTEA61/flow_x_processed/S3/pour_water,cup/1/flow_x_00003.png', './GTEA61/flow_x_processed/S3/pour_water,cup/1/flow_x_00004.png', 4.08426760465354
3, 4, './GTEA61/flow_x_processed/S3/pour_water,cup/1/flow_x_00004.png', './GTEA61/flow_x_processed/S3/pour_water,cup/1/flow_x_00005.png', 3.3699824313838302
4, 5, './GTEA61/flow_x_processed/S3/pour_water,cup/1/flow_x_00005.png', './GTEA61/flow_x_processed/S3/pour_water,cup/1/flow_x_00006.png', 3.8454574704832596
5, 6, './GTEA61/flow_x_processed/S3/pour_water,cup/1/flow_x_00006.png', './GTEA61/flow_x_processed/S3/pour_water,cup/1/flow_x_00007.png', 3.9271672896509093
6, 7, './GTEA61/flow_x_processed/S3/pour_water,cup/1/flow_x_00007.png', './GTEA61/flow_x_processed/S3/pour_water,cup/1/flow_x_00008.png', 3.3301043436005235
7, 8, './GTEA61/flow_x_processed/S3/pour_water,cup/1/flow_x_00008.png', './GTEA61/flow_x_processed/S3/pour_water,cup/1/flow_x_00009.png', 3.672081686419976
8, 9, './GTEA61/flow_x_processed/S3/pour_water,cup/1/flow_x_00009.png', './GTEA61/flow_x_processed/S3/pour_water,cup/1/flow_x_00010.png', 3.5895784732540443
9, 10, './GTEA61/flow_x_processed/S3/pour_water,cup/1/flow_x_00010.png', './GTEA61/flow_x_processed/S3/pour_water,cup/1/flow_x_00011.png', 3.774218308168308
10, 11, './GTEA61/flow_x_processed/S3/pour_water,cup/1/flow_x_00011.png', './GTEA61/flow_x_processed/S3/pour_water,cup/1/flow_x_00012.png', 4.604437689056513
11, 12, './GTEA61/flow_x_processed/S3/pour_water,cup/1/flow_x_00012.png', './GTEA61/flow_x_processed/S3/pour_water,cup/1/flow_x_00013.png', 5.168454303448569
