0, 1, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/rgb/rgb0002.png', 5.04388716983269
1, 2, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/rgb/rgb0003.png', 4.9076787108753
2, 3, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/rgb/rgb0004.png', 4.877302554235623
3, 4, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/rgb/rgb0005.png', 4.953456536205291
4, 5, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/rgb/rgb0006.png', 5.154690732042161
5, 6, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/rgb/rgb0007.png', 4.915728809731976
6, 7, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/rgb/rgb0008.png', 5.2827839759290836
7, 8, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/rgb/rgb0009.png', 5.141791408313734
8, 9, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/rgb/rgb0010.png', 5.127295506568349
9, 10, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/rgb/rgb0011.png', 4.799914167162454
10, 11, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/rgb/rgb0012.png', 5.302926519951363
11, 12, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/rgb/rgb0013.png', 5.394720734517148
12, 13, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/rgb/rgb0013.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/rgb/rgb0014.png', 4.751595134486319
13, 14, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/rgb/rgb0014.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/rgb/rgb0015.png', 4.86467293922625
