0, 1, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0002.png', 0.257009054350251
1, 2, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0003.png', 0.23706402542063076
2, 3, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0004.png', 0.2214268974065257
3, 4, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0005.png', 0.21048071937610469
4, 5, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0006.png', 0.08069067307213426
5, 6, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0007.png', 0.03653099918763929
6, 7, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0008.png', 0.008567004826127734
7, 8, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0009.png', 0.02943240645186531
8, 9, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0010.png', 0.023253310605531156
9, 10, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0011.png', 0.4234647563536896
10, 11, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0012.png', 0.2958761104910987
11, 12, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0013.png', 0.2167454952389737
12, 13, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0014.png', 0.2053641598826239
13, 14, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0015.png', 0.257890482960487
14, 15, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0016.png', 0.1095930978278825
15, 16, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0017.png', 0.06094693404001156
16, 17, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0018.png', 0.020199858469987318
17, 18, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0019.png', 0.03858193888505798
18, 19, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0020.png', 0.056501935314418925
19, 20, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0021.png', 0.04597773623663942
20, 21, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0022.png', 0.06015034809590973
21, 22, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0023.png', 0.053175688375302906
22, 23, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/mmaps/map0024.png', 0.047475957009750304
