0, 1, './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00001.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00002.png', 4.220704908871529
1, 2, './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00002.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00003.png', 4.009166627041331
2, 3, './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00003.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00004.png', 4.058575808880097
3, 4, './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00004.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00005.png', 3.7874338737113313
4, 5, './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00005.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00006.png', 3.969829901727071
5, 6, './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00006.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00007.png', 3.557991609874236
6, 7, './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00007.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00008.png', 4.280584805954972
7, 8, './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00008.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00009.png', 5.104681482327721
8, 9, './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00009.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00010.png', 4.340134751841324
9, 10, './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00010.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00011.png', 4.934929948493989
10, 11, './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00011.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00012.png', 4.453339957556955
11, 12, './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00012.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00013.png', 4.441009175959316
12, 13, './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00013.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00014.png', 4.316444755523822
13, 14, './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00014.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00015.png', 3.686218192232782
14, 15, './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00015.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00016.png', 4.358081269634335
15, 16, './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00016.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/4/flow_x_00017.png', 4.114388928484267
