0, 1, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0001.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0002.png', 0.3000255433443825
1, 2, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0002.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0003.png', 0.2654986483135758
2, 3, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0003.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0004.png', 0.252078712861265
3, 4, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0004.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0005.png', 0.22097695812948423
4, 5, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0005.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0006.png', 0.1615282367520961
5, 6, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0006.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0007.png', 0.18957271187960842
6, 7, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0007.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0008.png', 0.19549285017194654
7, 8, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0008.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0009.png', 0.18669558106251827
8, 9, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0009.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0010.png', 0.18013816337723565
9, 10, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0010.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0011.png', 0.46945806652513467
10, 11, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0011.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0012.png', 0.37129586120462194
11, 12, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0012.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0013.png', 0.2606029027275226
12, 13, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0013.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0014.png', 0.2575457376212039
13, 14, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0014.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0015.png', 0.2508781956310976
14, 15, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0015.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0016.png', 0.15870903493260236
15, 16, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0016.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0017.png', 0.16588482040846725
16, 17, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0017.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0018.png', 0.2023632190356425
17, 18, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0018.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0019.png', 0.21106468843292475
18, 19, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0019.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0020.png', 0.1994726609673858
19, 20, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0020.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0021.png', 0.21843386915709415
20, 21, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0021.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0022.png', 0.14203784597342065
21, 22, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0022.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0023.png', 0.12559415458364975
22, 23, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0023.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0024.png', 0.11441786256439507
23, 24, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0024.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0025.png', 0.11131228216698164
24, 25, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0025.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0026.png', 0.09460944662136811
25, 26, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0026.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0027.png', 0.060640858332782765
26, 27, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0027.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0028.png', 0.05178056223781374
27, 28, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0028.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0029.png', 0.03235268817879221
28, 29, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0029.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0030.png', 0.028349405807602437
29, 30, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0030.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0031.png', 0.031432827546389874
30, 31, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0031.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0032.png', 0.036255696540669624
31, 32, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0032.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0033.png', 0.023027053633690064
32, 33, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0033.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0034.png', 0.013475369121058149
33, 34, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0034.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0035.png', 0.020199858469987318
34, 35, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0035.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0036.png', 0.008567004826127734
35, 36, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0036.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0037.png', 0.005707769227122036
36, 37, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0037.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0038.png', 0.005707769227122036
37, 38, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0038.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0039.png', -0.0
38, 39, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0039.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0040.png', -0.0
39, 40, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0040.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0041.png', -0.0
40, 41, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0041.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0042.png', 0.01560991033403701
41, 42, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0042.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0043.png', 0.01438512514729601
42, 43, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0043.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0044.png', 0.009719906366060878
43, 44, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0044.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0045.png', 0.05947429522801502
44, 45, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0045.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0046.png', 0.16051346971818917
45, 46, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0046.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0047.png', 0.11892709725648296
46, 47, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0047.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0048.png', 0.1364659184155442
47, 48, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0048.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0049.png', 0.13436343814893173
48, 49, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0049.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0050.png', 0.14184525832562986
49, 50, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0050.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0051.png', 0.12439031501078202
50, 51, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0051.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0052.png', 0.1288365091773706
51, 52, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0052.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0053.png', 0.16524535452684702
52, 53, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0053.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0054.png', 0.1537682185293534
53, 54, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0054.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0055.png', 0.17110491570908626
54, 55, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0055.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0056.png', 0.15740913603748136
55, 56, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0056.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0057.png', 0.12843885400709304
56, 57, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0057.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0058.png', 0.04532288501728351
57, 58, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0058.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0059.png', 0.07557987136944967
58, 59, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0059.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0060.png', 0.061191523312341185
59, 60, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0060.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0061.png', 0.03291606781008387
60, 61, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0061.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0062.png', 0.023704564406865594
61, 62, './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0062.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/mmaps/map0063.png', 0.049799603697705266
