0, 1, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/rgb/rgb0002.png', 5.282227353092573
1, 2, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/rgb/rgb0003.png', 5.039509404083984
2, 3, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/rgb/rgb0004.png', 4.945523662822346
3, 4, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/rgb/rgb0005.png', 5.220559200170215
4, 5, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/rgb/rgb0006.png', 4.996239139709089
5, 6, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/rgb/rgb0007.png', 4.94846800522105
6, 7, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/rgb/rgb0008.png', 4.936922208010102
7, 8, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/rgb/rgb0009.png', 4.863393800876009
8, 9, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/rgb/rgb0010.png', 4.293919969065868
9, 10, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/rgb/rgb0011.png', 4.692768486859663
10, 11, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/rgb/rgb0012.png', 4.71787013136067
11, 12, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/rgb/rgb0013.png', 4.385954846399227
