0, 1, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0002.png', 4.7408595876492825
1, 2, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0003.png', 5.19082834781604
2, 3, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0004.png', 4.177267510365492
3, 4, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0005.png', 4.60390064823173
4, 5, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0006.png', 4.70323767670321
5, 6, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0007.png', 4.346064159278907
6, 7, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0008.png', 4.430718660598375
7, 8, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0009.png', 4.6363356268837705
8, 9, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0010.png', 4.539208094900064
9, 10, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0011.png', 4.599999647164171
10, 11, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0012.png', 4.598640581724403
11, 12, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0013.png', 4.625919945638424
12, 13, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0013.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0014.png', 4.87691669224979
13, 14, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0014.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0015.png', 4.692689043715511
14, 15, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0015.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0016.png', 4.670452150572321
15, 16, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0016.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0017.png', 4.797963353083873
16, 17, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0017.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0018.png', 4.354546590098356
17, 18, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0018.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0019.png', 4.796260852172452
18, 19, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0019.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0020.png', 4.816965404059894
19, 20, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0020.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0021.png', 4.751476861267174
20, 21, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0021.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0022.png', 4.468813767753227
21, 22, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0022.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0023.png', 4.7068558539195156
22, 23, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0023.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0024.png', 4.577709133152156
23, 24, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0024.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0025.png', 4.852725222370637
24, 25, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0025.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0026.png', 4.794933665841567
25, 26, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0026.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0027.png', 4.643587461367404
26, 27, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0027.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0028.png', 4.390364092990153
27, 28, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0028.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0029.png', 4.695401743623259
28, 29, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0029.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0030.png', 5.340502040433844
29, 30, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0030.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0031.png', 4.067297839816025
30, 31, './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0031.png', './GTEA61/processed_frames2/S2/pour_water,cup/3/rgb/rgb0032.png', 4.1754277341987285
