0, 1, './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0001.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0002.png', 0.331933902807839
1, 2, './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0002.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0003.png', 0.2598401357191054
2, 3, './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0003.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0004.png', 0.15113591754242497
3, 4, './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0004.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0005.png', 0.11250580424182462
4, 5, './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0005.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0006.png', 0.10523301422682857
5, 6, './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0006.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0007.png', 0.11374716657553298
6, 7, './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0007.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0008.png', 0.06687265073178118
7, 8, './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0008.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0009.png', 0.04208242265487411
8, 9, './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0009.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0010.png', 0.03769614973146429
9, 10, './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0010.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0011.png', 0.47314561061211907
10, 11, './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0011.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0012.png', 0.3368874402897584
11, 12, './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0012.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0013.png', 0.28277548078480347
12, 13, './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0013.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0014.png', 0.22602743296836303
13, 14, './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0014.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0015.png', 0.1441506422849592
14, 15, './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0015.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0016.png', 0.11400526789725386
15, 16, './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0016.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0017.png', 0.11652538186178321
16, 17, './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0017.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0018.png', 0.06501287544506906
17, 18, './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0018.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0019.png', 0.07137811551432473
18, 19, './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0019.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0020.png', 0.024899940696588276
19, 20, './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0020.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/mmaps/map0021.png', 0.03291606781008387
