0, 1, './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0002.png', 5.568917705865722
1, 2, './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0003.png', 5.328154164049445
2, 3, './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0004.png', 4.845701310503849
3, 4, './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0005.png', 4.978105333463353
4, 5, './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0006.png', 5.353167870843034
5, 6, './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0007.png', 5.484542856878568
6, 7, './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0008.png', 5.520513803185162
7, 8, './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0009.png', 5.601731325288147
8, 9, './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0010.png', 5.651946747861698
9, 10, './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0011.png', 5.730825131473427
10, 11, './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0012.png', 5.72796740816787
11, 12, './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0013.png', 4.957200908790846
12, 13, './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0014.png', 5.5420380276470675
13, 14, './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0015.png', 5.683590572506566
14, 15, './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0016.png', 5.149001407903719
15, 16, './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0017.png', 5.056243186584104
16, 17, './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0018.png', 5.1853105865330535
17, 18, './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0019.png', 5.427610209008207
18, 19, './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0020.png', 5.376687920389492
19, 20, './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0021.png', 4.969286630144391
20, 21, './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0022.png', 5.120368074225793
21, 22, './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0023.png', 5.417141220097736
22, 23, './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0024.png', 5.028747006090082
23, 24, './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0025.png', 4.714006160456446
24, 25, './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S2/pour_water,cup/1/rgb/rgb0026.png', 5.164159365430241
