0, 1, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00002.png', 7.299948333829915
1, 2, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00003.png', 6.53805173666075
2, 3, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00004.png', 5.547451127835853
3, 4, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00005.png', 6.424832699833843
4, 5, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00006.png', 6.970955357569848
5, 6, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00007.png', 5.9913344701146825
6, 7, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00008.png', 4.985156410255558
7, 8, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00009.png', 5.996087189312929
8, 9, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00010.png', 5.653975122021055
9, 10, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00011.png', 5.453767557508346
10, 11, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00012.png', 4.614970092827294
11, 12, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00013.png', 5.336372806010928
12, 13, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00014.png', 5.273211250476909
13, 14, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00015.png', 4.813815482149634
14, 15, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00016.png', 4.95620281063077
15, 16, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00017.png', 5.386419233116373
16, 17, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00018.png', 5.691179567933562
17, 18, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00019.png', 6.356226590531774
18, 19, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00020.png', 5.307378617893737
19, 20, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00021.png', 5.030685236284897
20, 21, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00022.png', 4.878458990116716
21, 22, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00023.png', 5.556292490127147
22, 23, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00024.png', 5.190300077175694
23, 24, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00024.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00025.png', 5.424051300910536
24, 25, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00025.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00026.png', 5.458703208241776
25, 26, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00026.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00027.png', 5.205036908087748
26, 27, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00027.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00028.png', 6.129577331722677
27, 28, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00028.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00029.png', 4.241866399811289
28, 29, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00029.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00030.png', 5.55159302719778
29, 30, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00030.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00031.png', 6.135481671752785
30, 31, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00031.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00032.png', 5.022931624615064
31, 32, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00032.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00033.png', 5.062275973496103
32, 33, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00033.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00034.png', 4.761252429570621
33, 34, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00034.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00035.png', 5.744562663073893
34, 35, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00035.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00036.png', 5.868084472479476
35, 36, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00036.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00037.png', 4.324371967667134
36, 37, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00037.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00038.png', 6.845428685961982
37, 38, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00038.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00039.png', 6.648645951844631
38, 39, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00039.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00040.png', 6.517615892436266
39, 40, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00040.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00041.png', 7.070645565224147
40, 41, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00041.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00042.png', 6.10874568560808
41, 42, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00042.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00043.png', 5.603969249141431
42, 43, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00043.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00044.png', 5.410593037646673
43, 44, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00044.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00045.png', 7.383869764359143
44, 45, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00045.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00046.png', 6.9646579525816685
45, 46, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00046.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00047.png', 5.888184118576169
46, 47, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00047.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00048.png', 5.898548481351303
47, 48, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00048.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00049.png', 4.081764318966577
48, 49, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00049.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00050.png', 5.934080020771776
49, 50, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00050.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00051.png', 5.008512890729872
50, 51, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00051.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00052.png', 5.3019182236452735
51, 52, './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00052.png', './GTEA61/flow_x_processed/S4/put_bread,cheese,bread/1/flow_x_00053.png', 5.5077187649400825
