0, 1, './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0002.png', 0.46555717930182894
1, 2, './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0003.png', 0.2330362867823851
2, 3, './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0004.png', 0.21438932981897585
3, 4, './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0005.png', 0.2208541821340675
4, 5, './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0006.png', 0.11047973762080505
5, 6, './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0007.png', 0.10001557165299205
6, 7, './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0008.png', 0.16588482040846725
7, 8, './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0009.png', 0.21529996322326408
8, 9, './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0010.png', 0.2705407134714898
9, 10, './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0011.png', 0.5189166421839199
10, 11, './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0012.png', 0.4891855879793537
11, 12, './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0013.png', 0.2704657791019163
12, 13, './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0014.png', 0.2543951183426241
13, 14, './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0015.png', 0.27598513135532016
14, 15, './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0016.png', 0.1482032841794975
15, 16, './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0017.png', 0.09726916519410506
16, 17, './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0018.png', 0.2108979061423193
17, 18, './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0019.png', 0.2953374470754686
18, 19, './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0020.png', 0.370819195602027
19, 20, './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0021.png', 0.4312270006540034
20, 21, './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0022.png', 0.37256520798715453
21, 22, './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0023.png', 0.307923159800035
22, 23, './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0024.png', 0.3203565039230384
23, 24, './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0024.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0025.png', 0.3554043586692222
24, 25, './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0025.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0026.png', 0.355534665402477
25, 26, './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0026.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0027.png', 0.35308688591697834
26, 27, './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0027.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0028.png', 0.37158168742178577
27, 28, './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0028.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/mmaps/map0029.png', 0.4350583603151599
