0, 1, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00001.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00002.png', 6.01606148339625
1, 2, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00002.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00003.png', 4.800868986299255
2, 3, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00003.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00004.png', 5.5910348481831065
3, 4, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00004.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00005.png', 5.747487904408631
4, 5, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00005.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00006.png', 5.612753146428607
5, 6, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00006.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00007.png', 5.974079214223002
6, 7, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00007.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00008.png', 5.441297486736127
7, 8, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00008.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00009.png', 5.324865144800415
8, 9, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00009.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00010.png', 5.310732414660984
9, 10, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00010.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00011.png', 5.663298106091467
10, 11, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00011.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00012.png', 5.088547215343497
11, 12, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00012.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00013.png', 5.771142078277127
12, 13, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00013.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00014.png', 4.748145802683341
13, 14, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00014.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00015.png', 4.9751918684721295
14, 15, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00015.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00016.png', 5.087409909684101
15, 16, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00016.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00017.png', 5.4155051580874485
16, 17, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00017.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00018.png', 5.644125081836493
17, 18, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00018.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00019.png', 5.754335643308297
18, 19, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00019.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00020.png', 5.812104116932132
19, 20, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00020.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00021.png', 5.7814160411943964
20, 21, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00021.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00022.png', 5.748775921892252
21, 22, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00022.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00023.png', 4.378550489051344
22, 23, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00023.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00024.png', 5.637186332729579
23, 24, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00024.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00025.png', 4.769566514549942
24, 25, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00025.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00026.png', 4.276519548677556
25, 26, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00026.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00027.png', 4.379201128188151
26, 27, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00027.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00028.png', 4.912117728317794
27, 28, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00028.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00029.png', 5.181734827617382
28, 29, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00029.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00030.png', 4.418326216485125
29, 30, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00030.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00031.png', 3.693038765528922
30, 31, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00031.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00032.png', 3.6055187008479246
31, 32, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00032.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00033.png', 3.261501497807795
32, 33, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00033.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00034.png', 4.630549708725516
33, 34, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00034.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00035.png', 5.56826862655668
34, 35, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00035.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00036.png', 5.411724981196981
35, 36, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00036.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00037.png', 5.432025497528026
36, 37, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00037.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00038.png', 4.6341249706201895
37, 38, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00038.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00039.png', 4.620667086588904
38, 39, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00039.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00040.png', 4.608881415735065
39, 40, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00040.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00041.png', 5.1708605641597805
40, 41, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00041.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00042.png', 4.584256031129731
41, 42, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00042.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00043.png', 4.7646002193357955
42, 43, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00043.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00044.png', 5.4075056122767435
43, 44, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00044.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/2/flow_y_00045.png', 6.202846963263074
