0, 1, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0002.png', 5.369548013339937
1, 2, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0003.png', 5.041934373507644
2, 3, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0004.png', 4.867968051435836
3, 4, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0005.png', 4.91282527791385
4, 5, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0006.png', 5.192515024504024
5, 6, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0007.png', 4.993014783544864
6, 7, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0008.png', 4.495151454706676
7, 8, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0009.png', 4.80739985303892
8, 9, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0010.png', 4.887219440373074
9, 10, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0011.png', 4.722066474764291
10, 11, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0012.png', 4.724993672036588
11, 12, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0013.png', 4.926264878127804
12, 13, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0014.png', 5.092711705632002
13, 14, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0014.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0015.png', 5.1066190993431375
14, 15, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0015.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0016.png', 4.7550632297887
15, 16, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0016.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0017.png', 4.663920086993608
16, 17, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0017.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0018.png', 4.894041027588754
17, 18, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0018.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0019.png', 5.0081426494016155
18, 19, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0019.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0020.png', 4.8713802689907455
19, 20, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0020.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0021.png', 5.260187830135655
20, 21, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0021.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0022.png', 4.9544334476296665
21, 22, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0022.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0023.png', 4.543844614739176
22, 23, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0023.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/rgb/rgb0024.png', 4.804267719794783
