0, 1, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00001.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00002.png', 6.501126070740205
1, 2, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00002.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00003.png', 6.442217103868031
2, 3, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00003.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00004.png', 5.192251200854276
3, 4, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00004.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00005.png', 5.236433147985197
4, 5, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00005.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00006.png', 4.586283429692037
5, 6, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00006.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00007.png', 4.71587428244826
6, 7, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00007.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00008.png', 4.897245142806403
7, 8, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00008.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00009.png', 5.3211631923776705
8, 9, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00009.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00010.png', 5.122675784128765
9, 10, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00010.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00011.png', 4.025359369196576
10, 11, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00011.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00012.png', 4.970706626139394
11, 12, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00012.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00013.png', 3.685957091695145
12, 13, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00013.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00014.png', 5.068101167586853
13, 14, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00014.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00015.png', 4.127049899700371
14, 15, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00015.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00016.png', 4.782230953969665
15, 16, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00016.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00017.png', 5.558265704618485
16, 17, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00017.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00018.png', 5.316213578475067
17, 18, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00018.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00019.png', 5.47808403140873
18, 19, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00019.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00020.png', 3.910365727072394
19, 20, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00020.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00021.png', 4.35384745761044
