0, 1, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0001.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0002.png', 0.3139451026919312
1, 2, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0002.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0003.png', 0.3477667273141949
2, 3, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0003.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0004.png', 0.33839594275950563
3, 4, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0004.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0005.png', 0.35865391831855886
4, 5, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0005.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0006.png', 0.3561857924220755
5, 6, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0006.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0007.png', 0.3591075144032032
6, 7, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0007.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0008.png', 0.3752225388877747
7, 8, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0008.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0009.png', 0.4159319016532485
8, 9, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0009.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0010.png', 0.44211274966424857
9, 10, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0010.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0011.png', 0.5685076104303954
10, 11, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0011.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0012.png', 0.46218236449853506
11, 12, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0012.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0013.png', 0.4371228402920622
12, 13, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0013.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0014.png', 0.42164859523517884
13, 14, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0014.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0015.png', 0.3698329412851188
14, 15, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0015.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0016.png', 0.3525961780867266
15, 16, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0016.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0017.png', 0.4218245804960487
16, 17, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0017.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0018.png', 0.38337734812064206
17, 18, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0018.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0019.png', 0.385772346017556
18, 19, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0019.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0020.png', 0.4074690052450882
19, 20, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0020.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0021.png', 0.3981613242588424
20, 21, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0021.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0022.png', 0.34746982882715705
21, 22, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0022.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0023.png', 0.34452619132353746
22, 23, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0023.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/4/mmaps/map0024.png', 0.3784029002509371
