0, 1, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/rgb/rgb0002.png', 5.549553011188263
1, 2, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/rgb/rgb0003.png', 5.443948733397767
2, 3, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/rgb/rgb0004.png', 5.458621932275764
3, 4, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/rgb/rgb0005.png', 5.867841535443283
4, 5, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/rgb/rgb0006.png', 6.329703971804696
5, 6, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/rgb/rgb0007.png', 6.210619085569386
6, 7, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/rgb/rgb0008.png', 5.941839104969535
7, 8, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/rgb/rgb0009.png', 5.908148091710645
8, 9, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/rgb/rgb0010.png', 5.889927749100865
9, 10, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/rgb/rgb0011.png', 5.606805610562759
10, 11, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/rgb/rgb0012.png', 4.91048355082144
11, 12, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/rgb/rgb0013.png', 4.8241065838102255
