0, 1, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00001.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00002.png', 4.5320687683103404
1, 2, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00002.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00003.png', 4.9259545527663455
2, 3, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00003.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00004.png', 5.158357614175007
3, 4, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00004.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00005.png', 5.384312079830876
4, 5, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00005.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00006.png', 5.724572818472692
5, 6, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00006.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00007.png', 4.894031878171138
6, 7, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00007.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00008.png', 4.675126375058716
7, 8, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00008.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00009.png', 4.321396243976379
8, 9, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00009.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00010.png', 4.301739766798015
9, 10, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00010.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00011.png', 4.327158499748592
10, 11, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00011.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00012.png', 3.9322934013493374
11, 12, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00012.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00013.png', 4.344794488714195
12, 13, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00013.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00014.png', 3.671627984364301
13, 14, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00014.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00015.png', 4.058917890674783
14, 15, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00015.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00016.png', 5.45439785242079
15, 16, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00016.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00017.png', 4.243344093827224
16, 17, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00017.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00018.png', 4.287059194782381
17, 18, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00018.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00019.png', 4.405623341447513
18, 19, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00019.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00020.png', 4.247108623832021
19, 20, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00020.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00021.png', 5.45683910339848
20, 21, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00021.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/2/flow_y_00022.png', 6.294758462662168
