0, 1, './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0002.png', 5.659713717583628
1, 2, './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0003.png', 5.8045752842487275
2, 3, './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0004.png', 5.681215544390843
3, 4, './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0005.png', 5.46651183730658
4, 5, './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0006.png', 5.445857841236528
5, 6, './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0007.png', 5.317219465843982
6, 7, './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0008.png', 5.338870685676244
7, 8, './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0009.png', 4.864567537679653
8, 9, './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0010.png', 4.81332448299023
9, 10, './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0011.png', 4.981235864498432
10, 11, './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0012.png', 4.875338081994907
11, 12, './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0013.png', 4.887081721247785
12, 13, './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0014.png', 4.896918551646426
13, 14, './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0015.png', 4.732165693289935
14, 15, './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0016.png', 4.6921130572431204
15, 16, './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0017.png', 5.107785223746268
16, 17, './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0018.png', 5.039174547031382
17, 18, './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0019.png', 4.490184836566841
18, 19, './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0020.png', 4.775751108178017
19, 20, './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0021.png', 4.674731320857589
20, 21, './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S3/shake_tea,cup/1/rgb/rgb0022.png', 4.628743599113158
