0, 1, './GTEA61/processed_frames2/S1/pour_water,cup/3/mmaps/map0001.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/mmaps/map0002.png', 0.4063881263913381
1, 2, './GTEA61/processed_frames2/S1/pour_water,cup/3/mmaps/map0002.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/mmaps/map0003.png', 0.28537494182429746
2, 3, './GTEA61/processed_frames2/S1/pour_water,cup/3/mmaps/map0003.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/mmaps/map0004.png', 0.23014694744629205
3, 4, './GTEA61/processed_frames2/S1/pour_water,cup/3/mmaps/map0004.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/mmaps/map0005.png', 0.22440339050110783
4, 5, './GTEA61/processed_frames2/S1/pour_water,cup/3/mmaps/map0005.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/mmaps/map0006.png', 0.2192555375911197
5, 6, './GTEA61/processed_frames2/S1/pour_water,cup/3/mmaps/map0006.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/mmaps/map0007.png', 0.21740500745058974
6, 7, './GTEA61/processed_frames2/S1/pour_water,cup/3/mmaps/map0007.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/mmaps/map0008.png', 0.17604498162562104
7, 8, './GTEA61/processed_frames2/S1/pour_water,cup/3/mmaps/map0008.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/mmaps/map0009.png', 0.16524535452684702
8, 9, './GTEA61/processed_frames2/S1/pour_water,cup/3/mmaps/map0009.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/mmaps/map0010.png', 0.13387296516778396
9, 10, './GTEA61/processed_frames2/S1/pour_water,cup/3/mmaps/map0010.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/mmaps/map0011.png', 0.6712004661389692
10, 11, './GTEA61/processed_frames2/S1/pour_water,cup/3/mmaps/map0011.png', './GTEA61/processed_frames2/S1/pour_water,cup/3/mmaps/map0012.png', 0.6141418705209305
