0, 1, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00001.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00002.png', 5.222924919192691
1, 2, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00002.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00003.png', 4.793368111212418
2, 3, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00003.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00004.png', 5.717035578540101
3, 4, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00004.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00005.png', 4.649461941642334
4, 5, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00005.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00006.png', 5.57087413992253
5, 6, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00006.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00007.png', 5.610907920259879
6, 7, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00007.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00008.png', 4.112061057602843
7, 8, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00008.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00009.png', 4.771937678612533
8, 9, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00009.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00010.png', 5.2612586477201235
9, 10, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00010.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00011.png', 5.266910954804103
10, 11, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00011.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00012.png', 5.570499102191948
11, 12, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00012.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00013.png', 5.701636577878035
12, 13, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00013.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00014.png', 4.517684563865579
13, 14, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00014.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00015.png', 3.923686483245536
14, 15, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00015.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00016.png', 4.435588853129433
15, 16, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00016.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00017.png', 4.366380845832016
16, 17, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00017.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00018.png', 4.347351166066518
17, 18, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00018.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00019.png', 3.949170799069219
18, 19, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00019.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00020.png', 4.521708672570996
19, 20, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00020.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00021.png', 5.031232325929538
20, 21, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00021.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00022.png', 4.371230619073541
21, 22, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00022.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00023.png', 3.984022522997395
22, 23, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00023.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00024.png', 4.124456724072546
23, 24, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00024.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00025.png', 4.8477235345924505
24, 25, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00025.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00026.png', 4.827125513272689
