0, 1, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00001.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00002.png', 4.987838814104305
1, 2, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00002.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00003.png', 5.2476763684764745
2, 3, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00003.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00004.png', 4.807354240291384
3, 4, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00004.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00005.png', 4.475621551972555
4, 5, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00005.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00006.png', 4.312306108195697
5, 6, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00006.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00007.png', 3.661483790647379
6, 7, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00007.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00008.png', 4.005729173588333
7, 8, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00008.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00009.png', 3.8123628615092184
8, 9, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00009.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00010.png', 4.509381993904685
9, 10, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00010.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00011.png', 3.670596703986771
10, 11, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00011.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00012.png', 3.829845848493717
11, 12, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00012.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00013.png', 3.935566992000315
12, 13, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00013.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00014.png', 4.243594076860874
13, 14, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00014.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00015.png', 4.431908838913864
14, 15, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00015.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00016.png', 4.454692275840054
15, 16, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00016.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00017.png', 4.615294381863609
16, 17, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00017.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00018.png', 5.033367673701913
17, 18, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00018.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00019.png', 4.582060216694705
18, 19, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00019.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00020.png', 4.640032026468533
19, 20, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00020.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00021.png', 5.857404384601248
20, 21, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00021.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00022.png', 5.018289677296021
21, 22, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00022.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/1/flow_x_00023.png', 5.350306547915912
