0, 1, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0002.png', 5.9702623748513295
1, 2, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0003.png', 5.801747798910116
2, 3, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0004.png', 5.6230093885051105
3, 4, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0005.png', 5.40227229467167
4, 5, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0006.png', 5.386307486507779
5, 6, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0007.png', 5.343706648684775
6, 7, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0008.png', 5.23170467654
7, 8, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0009.png', 5.023904457084395
8, 9, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0010.png', 4.53918689694457
9, 10, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0011.png', 4.317826716822769
10, 11, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0012.png', 4.499999448005665
11, 12, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0013.png', 4.3552174894512
12, 13, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0014.png', 4.295193757976892
13, 14, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0015.png', 4.30698294481592
14, 15, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0016.png', 4.197509627560289
15, 16, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0017.png', 4.490061126608834
16, 17, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0018.png', 4.306011223382781
17, 18, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0019.png', 4.716874923063929
18, 19, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0020.png', 4.601108444969654
19, 20, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/1/rgb/rgb0021.png', 4.5966135313315775
