0, 1, './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00002.png', 5.567066196547292
1, 2, './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00003.png', 6.19715388005759
2, 3, './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00004.png', 5.509232472620472
3, 4, './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00005.png', 5.2781442363733335
4, 5, './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00006.png', 5.657482139623844
5, 6, './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00007.png', 6.245948523356945
6, 7, './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00008.png', 5.753432104029676
7, 8, './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00009.png', 5.902857657750543
8, 9, './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00010.png', 6.161457972975479
9, 10, './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00011.png', 5.193792112904978
10, 11, './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00012.png', 4.4168027614977
11, 12, './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00013.png', 4.666571195340797
12, 13, './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00014.png', 3.9857461332967956
13, 14, './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00015.png', 4.724619361996357
14, 15, './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00016.png', 4.8162142650902675
15, 16, './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00017.png', 5.904336807907987
16, 17, './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00018.png', 5.417107560038058
17, 18, './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00019.png', 6.303338630007346
18, 19, './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00020.png', 6.583438947703886
19, 20, './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00021.png', 6.078539082411173
20, 21, './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00022.png', 5.9521287333678465
21, 22, './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00023.png', 5.7198058567517505
22, 23, './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S3/put_cheese,bread/1/flow_y_00024.png', 5.377292264118085
