0, 1, './GTEA61/processed_frames2/S2/stir_spoon,cup/3/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/3/rgb/rgb0002.png', 5.62466763940109
1, 2, './GTEA61/processed_frames2/S2/stir_spoon,cup/3/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/3/rgb/rgb0003.png', 5.312096562040689
2, 3, './GTEA61/processed_frames2/S2/stir_spoon,cup/3/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/3/rgb/rgb0004.png', 5.202158546920985
3, 4, './GTEA61/processed_frames2/S2/stir_spoon,cup/3/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/3/rgb/rgb0005.png', 5.034470212024891
4, 5, './GTEA61/processed_frames2/S2/stir_spoon,cup/3/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/3/rgb/rgb0006.png', 4.728593697921267
5, 6, './GTEA61/processed_frames2/S2/stir_spoon,cup/3/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/3/rgb/rgb0007.png', 4.698724989234894
6, 7, './GTEA61/processed_frames2/S2/stir_spoon,cup/3/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/3/rgb/rgb0008.png', 5.0993567943021185
7, 8, './GTEA61/processed_frames2/S2/stir_spoon,cup/3/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/3/rgb/rgb0009.png', 4.582770292505551
8, 9, './GTEA61/processed_frames2/S2/stir_spoon,cup/3/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/3/rgb/rgb0010.png', 4.585814969119885
9, 10, './GTEA61/processed_frames2/S2/stir_spoon,cup/3/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/3/rgb/rgb0011.png', 4.915226603703119
10, 11, './GTEA61/processed_frames2/S2/stir_spoon,cup/3/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/3/rgb/rgb0012.png', 5.135753784026438
