0, 1, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0002.png', 5.529923168602358
1, 2, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0003.png', 5.4761401326651304
2, 3, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0004.png', 5.724203372618903
3, 4, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0005.png', 5.141525910289458
4, 5, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0006.png', 5.3438310834781575
5, 6, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0007.png', 5.4976240466549955
6, 7, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0008.png', 5.055037775476313
7, 8, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0009.png', 5.149771536150993
8, 9, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0010.png', 5.118069110899769
9, 10, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0011.png', 5.081290613883109
10, 11, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0012.png', 5.195449852093201
11, 12, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0013.png', 5.169308495193284
12, 13, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0013.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0014.png', 5.0818047485752995
13, 14, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0014.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0015.png', 4.985173277728635
14, 15, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0015.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0016.png', 4.9517671139169535
15, 16, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0016.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0017.png', 4.862954201750296
16, 17, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0017.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0018.png', 4.828622989638783
17, 18, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0018.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0019.png', 4.9434526062874244
18, 19, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0019.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0020.png', 5.214006046928013
19, 20, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0020.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0021.png', 5.0471899941971765
20, 21, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0021.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0022.png', 4.853459280290904
21, 22, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0022.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0023.png', 5.226162407484477
22, 23, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0023.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0024.png', 4.988401122425931
23, 24, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0024.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0025.png', 4.11308841970596
24, 25, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0025.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0026.png', 4.580083973962527
25, 26, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0026.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0027.png', 4.535596097602068
26, 27, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0027.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0028.png', 5.115566002173849
27, 28, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0028.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0029.png', 5.055626100939266
28, 29, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0029.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0030.png', 5.387432379944768
29, 30, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0030.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0031.png', 5.517627163521198
30, 31, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0031.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0032.png', 5.461930189849408
31, 32, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0032.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0033.png', 5.629253332935354
32, 33, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0033.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/3/rgb/rgb0034.png', 5.807704568132003
