0, 1, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0002.png', 0.5781540302251218
1, 2, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0003.png', 0.4655298147882042
2, 3, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0004.png', 0.41838401927797775
3, 4, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0005.png', 0.31540657712873343
4, 5, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0006.png', 0.17862948036389098
5, 6, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0007.png', 0.12055379851883796
6, 7, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0008.png', 0.10236765671293543
7, 8, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0009.png', 0.07937833927050224
8, 9, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0010.png', 0.07319486975870974
9, 10, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0011.png', 0.7486285622085349
10, 11, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0012.png', 0.589449196427083
11, 12, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0013.png', 0.39703393383474456
12, 13, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0014.png', 0.4271106144094077
13, 14, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0015.png', 0.39602672677311823
14, 15, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0016.png', 0.23359634416794278
15, 16, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0017.png', 0.13831519114734106
16, 17, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0018.png', 0.138023739513875
17, 18, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0019.png', 0.14083275068695003
18, 19, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0020.png', 0.11477851327990729
19, 20, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0021.png', 0.18813621926748889
20, 21, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0022.png', 0.2835088779340121
21, 22, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0023.png', 0.3267356490871534
22, 23, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0024.png', 0.36172546910252923
23, 24, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0024.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0025.png', 0.3237600984706783
24, 25, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0025.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0026.png', 0.26719676394594194
25, 26, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0026.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0027.png', 0.27798607895563865
26, 27, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0027.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0028.png', 0.2656875736499673
27, 28, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0028.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0029.png', 0.2910106098865768
28, 29, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0029.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0030.png', 0.3069371703464048
29, 30, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0030.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0031.png', 0.2998116179496483
30, 31, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0031.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0032.png', 0.26997847075442505
31, 32, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0032.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0033.png', 0.291733926662793
32, 33, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0033.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0034.png', 0.2652718565393127
33, 34, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0034.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0035.png', 0.29126387041323065
34, 35, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0035.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0036.png', 0.24819691269799332
35, 36, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0036.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0037.png', 0.2476903171316795
36, 37, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0037.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0038.png', 0.2568556238251677
37, 38, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0038.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0039.png', 0.23730237705728824
38, 39, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0039.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0040.png', 0.22044472637036538
39, 40, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0040.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/mmaps/map0041.png', 0.20125991856561168
