0, 1, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0002.png', 5.236602262390181
1, 2, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0003.png', 5.139549934419457
2, 3, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0004.png', 4.969718164972312
3, 4, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0005.png', 4.78920715856562
4, 5, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0006.png', 4.85685960028553
5, 6, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0007.png', 4.738706468496328
6, 7, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0008.png', 4.589236884022051
7, 8, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0009.png', 4.623855573649598
8, 9, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0010.png', 4.411158419913892
9, 10, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0011.png', 4.4250457515505115
10, 11, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0012.png', 4.674123796487058
11, 12, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0013.png', 4.579411801483643
12, 13, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0014.png', 4.4539650783687135
13, 14, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0015.png', 4.78140778635308
14, 15, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0016.png', 4.680418742162333
15, 16, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0017.png', 4.62289196135849
16, 17, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0018.png', 4.836091800681001
17, 18, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0019.png', 4.763433118033173
18, 19, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0020.png', 4.262762496109918
19, 20, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/rgb/rgb0021.png', 5.238109400503909
