0, 1, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0002.png', 4.726374427527198
1, 2, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0003.png', 4.698214316040938
2, 3, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0004.png', 4.815205650934443
3, 4, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0005.png', 4.900906947353307
4, 5, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0006.png', 4.547990233191502
5, 6, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0007.png', 4.356742094275328
6, 7, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0008.png', 4.176522686117455
7, 8, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0009.png', 4.275610880557485
8, 9, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0010.png', 4.5655262299394535
9, 10, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0011.png', 3.9918347604813005
10, 11, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0012.png', 4.1919012078262625
11, 12, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0013.png', 4.496919977779049
12, 13, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0014.png', 4.301822782293915
13, 14, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0014.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0015.png', 4.383360843449376
14, 15, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0015.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0016.png', 4.723098926317648
15, 16, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0016.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0017.png', 5.238439564235786
16, 17, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0017.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0018.png', 5.549508563860723
17, 18, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0018.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0019.png', 5.654879148656828
18, 19, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0019.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/rgb/rgb0020.png', 5.329536320065391
