0, 1, './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00001.png', './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00002.png', 4.536427394571711
1, 2, './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00002.png', './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00003.png', 4.793801396089523
2, 3, './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00003.png', './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00004.png', 4.7340871323462075
3, 4, './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00004.png', './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00005.png', 4.179207362612728
4, 5, './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00005.png', './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00006.png', 4.524857728887234
5, 6, './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00006.png', './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00007.png', 4.306993335854437
6, 7, './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00007.png', './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00008.png', 4.576777138655522
7, 8, './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00008.png', './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00009.png', 4.233871712535327
8, 9, './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00009.png', './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00010.png', 3.9482711556739933
9, 10, './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00010.png', './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00011.png', 4.224470837766823
10, 11, './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00011.png', './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00012.png', 3.7307948209360595
11, 12, './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00012.png', './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00013.png', 3.159750035949224
12, 13, './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00013.png', './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00014.png', 3.7673432135720626
13, 14, './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00014.png', './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00015.png', 3.855561170386899
14, 15, './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00015.png', './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00016.png', 3.4280548249945384
15, 16, './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00016.png', './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00017.png', 3.480629658246806
16, 17, './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00017.png', './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00018.png', 4.270742992285322
17, 18, './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00018.png', './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00019.png', 4.453411434098157
18, 19, './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00019.png', './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00020.png', 4.358084614539456
19, 20, './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00020.png', './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00021.png', 4.706068085215442
20, 21, './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00021.png', './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00022.png', 4.276697921105522
21, 22, './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00022.png', './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00023.png', 4.983184101118027
22, 23, './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00023.png', './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00024.png', 4.098898610729213
23, 24, './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00024.png', './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00025.png', 4.009397677928132
24, 25, './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00025.png', './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00026.png', 4.702187188518029
25, 26, './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00026.png', './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00027.png', 4.393009486376526
26, 27, './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00027.png', './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00028.png', 4.760543535143961
27, 28, './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00028.png', './GTEA61/flow_x_processed/S2/scoop_jam,spoon/1/flow_x_00029.png', 4.685964259283292
