0, 1, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0002.png', 0.36756825838765467
1, 2, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0003.png', 0.3277583744474095
2, 3, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0004.png', 0.32080451902526136
3, 4, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0005.png', 0.27794908618678144
4, 5, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0006.png', 0.19109177830677243
5, 6, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0007.png', 0.15451747194413906
6, 7, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0008.png', 0.0756957062847843
7, 8, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0009.png', 0.01957903710346705
8, 9, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0010.png', 0.012639096835915282
9, 10, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0011.png', 0.6264308336114386
10, 11, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0012.png', 0.32386294372444024
11, 12, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0013.png', 0.3030125567638491
12, 13, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0014.png', 0.3237258128937592
13, 14, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0015.png', 0.2833256138053713
14, 15, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0016.png', 0.20435169699836822
15, 16, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0017.png', 0.19065822797939275
16, 17, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0018.png', 0.13155992179593332
17, 18, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0019.png', 0.021277873413797898
18, 19, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0020.png', 0.02173672794550991
19, 20, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0021.png', 0.01761472349509604
20, 21, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0022.png', 0.008656529248688734
21, 22, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0023.png', 0.02143103036196716
22, 23, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0024.png', 0.01848370764298379
23, 24, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0024.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0025.png', 0.005324629270716944
24, 25, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0025.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0026.png', 0.01832627266622023
25, 26, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0026.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0027.png', 0.0089242343066975
26, 27, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0027.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0028.png', -0.0
27, 28, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0028.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0029.png', 0.00874590784647976
28, 29, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0029.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0030.png', 0.00874590784647976
29, 30, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0030.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0031.png', -0.0
30, 31, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0031.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0032.png', -0.0
31, 32, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0032.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0033.png', 0.00874590784647976
32, 33, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0033.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0034.png', 0.00874590784647976
