0, 1, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/mmaps/map0002.png', 0.4205622712129754
1, 2, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/mmaps/map0003.png', 0.45779277078196035
2, 3, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/mmaps/map0004.png', 0.470979097333486
3, 4, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/mmaps/map0005.png', 0.4657486974990789
4, 5, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/mmaps/map0006.png', 0.3317647154844846
5, 6, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/mmaps/map0007.png', 0.2972385646880592
6, 7, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/mmaps/map0008.png', 0.3297647967716316
7, 8, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/mmaps/map0009.png', 0.2893799350906776
8, 9, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/mmaps/map0010.png', 0.25308364615736934
9, 10, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/mmaps/map0011.png', 0.704207619701985
10, 11, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/mmaps/map0012.png', 0.5039218966898584
11, 12, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/mmaps/map0013.png', 0.4825634394954147
12, 13, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/mmaps/map0014.png', 0.46665078258864884
13, 14, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/mmaps/map0015.png', 0.46615889694213053
