0, 1, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0002.png', 4.715678314961988
1, 2, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0003.png', 4.975774358091246
2, 3, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0004.png', 5.131556408376015
3, 4, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0005.png', 4.711031673563906
4, 5, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0006.png', 5.046332031614314
5, 6, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0007.png', 5.10107142373537
6, 7, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0008.png', 4.898254685420977
7, 8, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0009.png', 4.57564314904986
8, 9, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0010.png', 4.724873708745247
9, 10, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0011.png', 4.5300523424814765
10, 11, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0012.png', 4.627400943082432
11, 12, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0013.png', 4.595223658292126
12, 13, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0014.png', 4.420144528479565
13, 14, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0014.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0015.png', 4.293009488129127
14, 15, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0015.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0016.png', 4.237534997714395
15, 16, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0016.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0017.png', 4.112846453602303
16, 17, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0017.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0018.png', 4.373883578940421
17, 18, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0018.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0019.png', 4.948947379339847
18, 19, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0019.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0020.png', 5.049670795400725
19, 20, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0020.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0021.png', 5.35110143072626
20, 21, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0021.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/2/rgb/rgb0022.png', 5.420721212433048
