0, 1, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0002.png', 5.542232708195607
1, 2, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0003.png', 5.695535754142613
2, 3, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0004.png', 5.635054830873825
3, 4, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0005.png', 5.833242271460929
4, 5, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0006.png', 5.830429939781032
5, 6, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0007.png', 5.518696834632126
6, 7, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0008.png', 5.380587669269788
7, 8, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0009.png', 5.312230791512869
8, 9, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0010.png', 5.294013016522245
9, 10, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0011.png', 4.9553629013007425
10, 11, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0012.png', 5.0793616286690515
11, 12, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0013.png', 5.25248249851279
12, 13, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0013.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0014.png', 5.293478490075827
13, 14, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0014.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0015.png', 5.272316005343184
14, 15, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0015.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0016.png', 4.472102754404108
15, 16, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0016.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0017.png', 5.056322754067136
16, 17, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0017.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0018.png', 5.827993306239174
17, 18, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0018.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0019.png', 6.113311570013519
18, 19, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0019.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0020.png', 6.402100053856874
19, 20, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0020.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0021.png', 6.643493481689637
20, 21, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0021.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0022.png', 6.901898044385134
21, 22, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0022.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0023.png', 7.007335346100066
22, 23, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0023.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0024.png', 6.797400794859958
23, 24, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0024.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0025.png', 6.20990616536611
24, 25, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0025.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0026.png', 5.6781669291922325
25, 26, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0026.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0027.png', 5.323236374016058
26, 27, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0027.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0028.png', 5.016193817682932
27, 28, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0028.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0029.png', 4.961236775655926
28, 29, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0029.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0030.png', 4.837953525566236
29, 30, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0030.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0031.png', 4.694968379730289
30, 31, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0031.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0032.png', 5.058987608510607
31, 32, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0032.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0033.png', 5.097251502033797
32, 33, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0033.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0034.png', 5.110492910943209
33, 34, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0034.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0035.png', 5.671997192577725
34, 35, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0035.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0036.png', 5.630147480163859
35, 36, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0036.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0037.png', 5.303372149462482
36, 37, './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0037.png', './GTEA61/processed_frames2/S1/put_bread,bread/2/rgb/rgb0038.png', 4.914247116147229
