0, 1, './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00002.png', 5.848000212314618
1, 2, './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00003.png', 5.8462649896634185
2, 3, './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00004.png', 5.939726892983115
3, 4, './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00005.png', 6.202571327209008
4, 5, './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00006.png', 5.862946168247491
5, 6, './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00007.png', 6.089683989502614
6, 7, './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00008.png', 5.061729932210153
7, 8, './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00009.png', 5.213791022116275
8, 9, './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00010.png', 6.028338571043376
9, 10, './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00011.png', 4.839624999707677
10, 11, './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00012.png', 4.932737076505715
11, 12, './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00013.png', 5.31167747551805
12, 13, './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00014.png', 4.8686184557513625
13, 14, './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00015.png', 4.849434142379438
14, 15, './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00016.png', 4.796064571034631
15, 16, './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00017.png', 4.962908656455457
16, 17, './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00018.png', 6.665531176242091
17, 18, './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S2/put_hotdog,bread/1/flow_y_00019.png', 5.80567842570918
