0, 1, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0001.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0002.png', 0.13724554966062025
1, 2, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0002.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0003.png', 0.11963961826047574
2, 3, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0003.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0004.png', 0.09016568337546853
3, 4, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0004.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0005.png', 0.10523301422682857
4, 5, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0005.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0006.png', 0.09220299117878852
5, 6, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0006.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0007.png', 0.10765591117629245
6, 7, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0007.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0008.png', 0.07459338603682354
7, 8, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0008.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0009.png', 0.0644704504237785
8, 9, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0009.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0010.png', 0.0941186321744074
9, 10, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0010.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0011.png', 0.19385770480882797
10, 11, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0011.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0012.png', 0.1753295787905948
11, 12, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0012.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0013.png', 0.13155992179593332
12, 13, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0013.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0014.png', 0.10896594469340729
13, 14, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0014.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0015.png', 0.12363605941688252
14, 15, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0015.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0016.png', 0.12584449781150572
15, 16, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0016.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0017.png', 0.12383733463667075
16, 17, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0017.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0018.png', 0.10290002870723254
17, 18, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0018.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0019.png', 0.09060726150550073
18, 19, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0019.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0020.png', 0.11374716657553298
19, 20, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0020.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0021.png', 0.14990846969003688
20, 21, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0021.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0022.png', 0.1543770819908324
21, 22, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0022.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0023.png', 0.145346511776385
22, 23, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0023.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0024.png', 0.12564423577591327
23, 24, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0024.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0025.png', 0.13957583493908593
24, 25, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0025.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0026.png', 0.16364284338762483
25, 26, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0026.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0027.png', 0.16947699508636546
26, 27, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0027.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0028.png', 0.15315852818961911
27, 28, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0028.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0029.png', 0.11744696371981828
28, 29, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0029.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0030.png', 0.14381520672755022
29, 30, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0030.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0031.png', 0.14467723093117588
30, 31, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0031.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0032.png', 0.13641714337303848
31, 32, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0032.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0033.png', 0.13313616632365863
32, 33, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0033.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0034.png', 0.11266119973969695
33, 34, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0034.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0035.png', 0.12972981143451012
34, 35, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0035.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0036.png', 0.12799102451803845
35, 36, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0036.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0037.png', 0.1279412350480047
36, 37, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0037.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0038.png', 0.11141621884883637
37, 38, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0038.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0039.png', 0.13392203854790571
38, 39, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0039.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0040.png', 0.16497102947839498
39, 40, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0040.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0041.png', 0.17840722041526322
40, 41, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0041.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0042.png', 0.1900072001794582
41, 42, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0042.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0043.png', 0.17524007872380484
42, 43, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0043.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/mmaps/map0044.png', 0.17232220809630475
