0, 1, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0002.png', 6.3304413831290205
1, 2, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0003.png', 5.986746246480508
2, 3, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0004.png', 5.359950962231533
3, 4, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0005.png', 4.850318290890465
4, 5, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0006.png', 4.663108352934451
5, 6, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0007.png', 5.119408959861718
6, 7, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0008.png', 5.0502110619631395
7, 8, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0009.png', 5.250074796681383
8, 9, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0010.png', 5.19623311916417
9, 10, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0011.png', 5.5888931880698465
10, 11, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0012.png', 5.175472773970344
11, 12, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0013.png', 4.871901349875215
12, 13, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0014.png', 5.350542027422795
13, 14, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0015.png', 5.049020976139157
14, 15, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0016.png', 4.7003110944733315
15, 16, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0017.png', 4.68051544198684
16, 17, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0018.png', 5.168203018541019
17, 18, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0019.png', 5.696664056900555
18, 19, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/rgb/rgb0020.png', 5.806158998811009
