0, 1, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00001.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00002.png', 5.913299311888027
1, 2, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00002.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00003.png', 5.604543380712767
2, 3, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00003.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00004.png', 5.136584267765405
3, 4, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00004.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00005.png', 4.735027242803023
4, 5, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00005.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00006.png', 4.321699275761539
5, 6, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00006.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00007.png', 4.075141762187958
6, 7, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00007.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00008.png', 4.684063050694001
7, 8, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00008.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00009.png', 4.574263332004967
8, 9, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00009.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00010.png', 4.40742525901399
9, 10, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00010.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00011.png', 5.2345004545299165
10, 11, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00011.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00012.png', 4.976866143920932
11, 12, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00012.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00013.png', 4.76426106938023
12, 13, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00013.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00014.png', 5.0900204804854505
