0, 1, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0002.png', 0.408158602618416
1, 2, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0003.png', 0.18137711755972227
2, 3, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0004.png', 0.18765646911410902
3, 4, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0005.png', 0.16675127162023945
4, 5, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0006.png', 0.13362751113094662
5, 6, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0007.png', 0.09683635083227671
6, 7, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0008.png', 0.11379880100378745
7, 8, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0009.png', 0.12187050929937243
8, 9, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0010.png', 0.12559415458364975
9, 10, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0011.png', 0.5460657631501028
10, 11, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0012.png', 0.46270486295586133
11, 12, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0013.png', 0.19544988739646435
12, 13, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0014.png', 0.1720519672242512
13, 14, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0015.png', 0.1713305750803668
14, 15, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0016.png', 0.15768799819808943
15, 16, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0017.png', 0.12619471532123885
16, 17, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0018.png', 0.13165861409831175
17, 18, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0019.png', 0.1448207351044381
18, 19, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0020.png', 0.12519327872530792
19, 20, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0021.png', 0.1427112236557723
20, 21, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0022.png', 0.13490229099241038
21, 22, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0023.png', 0.13431441690153184
22, 23, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0024.png', 0.12282993220320837
23, 24, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0024.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0025.png', 0.1282896325976292
24, 25, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0025.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0026.png', 0.09921007714253424
25, 26, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0026.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0027.png', 0.05743477021168386
26, 27, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0027.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0028.png', 0.027913882994087966
27, 28, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0028.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0029.png', 0.04999210053812894
28, 29, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0029.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0030.png', 0.04308013802335405
29, 30, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0030.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0031.png', 0.03639340337146427
30, 31, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0031.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0032.png', 0.06639396672083082
31, 32, './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0032.png', './GTEA61/processed_frames2/S3/put_hotdog,bread/1/mmaps/map0033.png', 0.1577809142931848
