0, 1, './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00002.png', 5.169634091544948
1, 2, './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00003.png', 5.72148155227789
2, 3, './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00004.png', 5.80598899875567
3, 4, './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00005.png', 5.669655284795379
4, 5, './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00006.png', 5.080144876508704
5, 6, './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00007.png', 5.488566300238992
6, 7, './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00008.png', 4.880273943777801
7, 8, './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00009.png', 4.436432574163596
8, 9, './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00010.png', 4.222774079132857
9, 10, './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00011.png', 4.853565368289094
10, 11, './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00012.png', 4.691931135602659
11, 12, './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00013.png', 4.462130239268804
12, 13, './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00014.png', 4.6033364379935335
13, 14, './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00015.png', 4.94849740352414
14, 15, './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00016.png', 4.201555418531675
15, 16, './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00017.png', 4.472163824944613
16, 17, './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00018.png', 4.505774110780634
17, 18, './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00019.png', 4.228186766724846
18, 19, './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00020.png', 3.9962262352320814
19, 20, './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00021.png', 4.067155926563494
20, 21, './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00022.png', 4.072802164259331
21, 22, './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00023.png', 4.418131510174056
22, 23, './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S3/put_bread,cheese,bread/1/flow_x_00024.png', 4.43934016866192
