0, 1, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0001.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0002.png', 0.24601140613917133
1, 2, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0002.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0003.png', 0.12454099422598232
2, 3, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0003.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0004.png', 0.10396237411626932
3, 4, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0004.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0005.png', 0.10337847833538594
4, 5, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0005.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0006.png', 0.07621638952953567
5, 6, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0006.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0007.png', 0.05562794313562258
6, 7, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0007.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0008.png', 0.047475957009750304
7, 8, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0008.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0009.png', 0.02986334440800564
8, 9, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0009.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0010.png', 0.009279209349486487
9, 10, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0010.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0011.png', 0.38539969627546733
10, 11, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0011.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0012.png', 0.2854114726820943
11, 12, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0012.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0013.png', 0.12918413788781236
12, 13, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0013.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0014.png', 0.11795799781377513
