0, 1, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0002.png', 0.29317793929117886
1, 2, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0003.png', 0.14088101970906022
2, 3, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0004.png', 0.10119359300215597
3, 4, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0005.png', 0.05475065807353417
4, 5, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0006.png', 0.01649736862931219
5, 6, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0007.png', 0.011963293072621251
6, 7, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0008.png', 0.008656529248688734
7, 8, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0009.png', 0.00874590784647976
8, 9, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0010.png', -0.0
9, 10, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0011.png', 0.5168544764531712
10, 11, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0012.png', 0.44683808122319824
11, 12, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0013.png', 0.16702455545554903
12, 13, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0014.png', 0.12977938185682286
13, 14, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0015.png', 0.07108397795933319
14, 15, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0016.png', 0.03263463034012862
15, 16, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0017.png', 0.017694038600588085
16, 17, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0018.png', 0.016737916565383943
17, 18, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0019.png', 0.016014380314503432
18, 19, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0020.png', -0.0
19, 20, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/mmaps/map0021.png', -0.0
