0, 1, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/3/flow_x_00001.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/3/flow_x_00002.png', 5.7907880908115725
1, 2, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/3/flow_x_00002.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/3/flow_x_00003.png', 4.841215436125052
2, 3, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/3/flow_x_00003.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/3/flow_x_00004.png', 4.298214246184085
3, 4, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/3/flow_x_00004.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/3/flow_x_00005.png', 5.25334393152258
4, 5, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/3/flow_x_00005.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/3/flow_x_00006.png', 4.795344124142465
5, 6, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/3/flow_x_00006.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/3/flow_x_00007.png', 5.383895626639254
6, 7, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/3/flow_x_00007.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/3/flow_x_00008.png', 5.231960351551822
7, 8, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/3/flow_x_00008.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/3/flow_x_00009.png', 4.241317983487511
8, 9, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/3/flow_x_00009.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/3/flow_x_00010.png', 4.563906052503072
9, 10, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/3/flow_x_00010.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/3/flow_x_00011.png', 4.283869097959512
10, 11, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/3/flow_x_00011.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/3/flow_x_00012.png', 4.888592305621471
11, 12, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/3/flow_x_00012.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/3/flow_x_00013.png', 4.427433427977393
12, 13, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/3/flow_x_00013.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/3/flow_x_00014.png', 4.970977917649541
