0, 1, './GTEA61/processed_frames2/S4/pour_water,cup/2/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/rgb/rgb0002.png', 5.117262951510652
1, 2, './GTEA61/processed_frames2/S4/pour_water,cup/2/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/rgb/rgb0003.png', 4.933314786524224
2, 3, './GTEA61/processed_frames2/S4/pour_water,cup/2/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/rgb/rgb0004.png', 4.952158839754719
3, 4, './GTEA61/processed_frames2/S4/pour_water,cup/2/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/rgb/rgb0005.png', 5.116321842923212
4, 5, './GTEA61/processed_frames2/S4/pour_water,cup/2/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/rgb/rgb0006.png', 4.741317270968622
5, 6, './GTEA61/processed_frames2/S4/pour_water,cup/2/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/rgb/rgb0007.png', 4.959574736747081
6, 7, './GTEA61/processed_frames2/S4/pour_water,cup/2/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/rgb/rgb0008.png', 4.856796667362329
7, 8, './GTEA61/processed_frames2/S4/pour_water,cup/2/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/rgb/rgb0009.png', 5.077856663997123
8, 9, './GTEA61/processed_frames2/S4/pour_water,cup/2/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/rgb/rgb0010.png', 4.937966167246297
9, 10, './GTEA61/processed_frames2/S4/pour_water,cup/2/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/rgb/rgb0011.png', 5.1264467663988444
10, 11, './GTEA61/processed_frames2/S4/pour_water,cup/2/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/rgb/rgb0012.png', 4.822185573251564
11, 12, './GTEA61/processed_frames2/S4/pour_water,cup/2/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/rgb/rgb0013.png', 4.691524989915342
12, 13, './GTEA61/processed_frames2/S4/pour_water,cup/2/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/rgb/rgb0014.png', 4.625604647268104
