0, 1, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0002.png', 5.21800872591552
1, 2, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0002.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0003.png', 5.10897976553566
2, 3, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0003.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0004.png', 4.814977920784864
3, 4, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0004.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0005.png', 4.9599412860706735
4, 5, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0005.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0006.png', 4.968657457261684
5, 6, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0006.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0007.png', 4.876890986285325
6, 7, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0007.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0008.png', 4.9417260130999345
7, 8, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0008.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0009.png', 4.919728016717903
8, 9, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0009.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0010.png', 4.809888320014583
9, 10, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0010.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0011.png', 4.404647799195667
10, 11, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0011.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0012.png', 4.588969663416601
11, 12, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0012.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0013.png', 4.777472528703221
12, 13, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0013.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0014.png', 4.612284977665697
13, 14, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0014.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0015.png', 4.617641612625903
14, 15, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0015.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0016.png', 4.652644698245468
15, 16, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0016.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0017.png', 4.562275496456283
16, 17, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0017.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0018.png', 4.81028293756523
17, 18, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0018.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0019.png', 4.826129842546252
18, 19, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0019.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0020.png', 4.901557498648694
19, 20, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0020.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0021.png', 4.717712587191247
20, 21, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0021.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0022.png', 4.849163420749791
21, 22, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0022.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0023.png', 4.250345203531491
22, 23, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0023.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0024.png', 4.529387109332106
23, 24, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0024.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0025.png', 4.975558506852256
24, 25, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0025.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0026.png', 4.586621471425641
25, 26, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0026.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/rgb/rgb0027.png', 5.052838089528626
