0, 1, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/mmaps/map0001.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/mmaps/map0002.png', 0.3539365347825322
1, 2, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/mmaps/map0002.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/mmaps/map0003.png', 0.19096175245583974
2, 3, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/mmaps/map0003.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/mmaps/map0004.png', 0.2147206497640238
3, 4, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/mmaps/map0004.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/mmaps/map0005.png', 0.16060581378614303
4, 5, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/mmaps/map0005.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/mmaps/map0006.png', 0.1819071400279076
5, 6, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/mmaps/map0006.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/mmaps/map0007.png', 0.22631114182469764
6, 7, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/mmaps/map0007.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/mmaps/map0008.png', 0.20426723602296418
7, 8, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/mmaps/map0008.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/mmaps/map0009.png', 0.1470628123928267
8, 9, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/mmaps/map0009.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/mmaps/map0010.png', 0.10194117884703119
9, 10, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/mmaps/map0010.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/mmaps/map0011.png', 0.4619071907082269
10, 11, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/mmaps/map0011.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/mmaps/map0012.png', 0.36095091748815794
11, 12, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/mmaps/map0012.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/mmaps/map0013.png', 0.2503739960317002
12, 13, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/mmaps/map0013.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/mmaps/map0014.png', 0.21917342739223405
13, 14, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/mmaps/map0014.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/mmaps/map0015.png', 0.1889637945393824
