0, 1, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00001.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00002.png', 4.919081099843822
1, 2, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00002.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00003.png', 4.98453097153751
2, 3, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00003.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00004.png', 5.024879040063632
3, 4, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00004.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00005.png', 4.974631022935563
4, 5, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00005.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00006.png', 4.471793562697547
5, 6, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00006.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00007.png', 5.00013129613999
6, 7, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00007.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00008.png', 4.361791969294594
7, 8, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00008.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00009.png', 4.194862316955449
8, 9, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00009.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00010.png', 3.4696721572925626
9, 10, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00010.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00011.png', 3.377102029383928
10, 11, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00011.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00012.png', 3.2082556878887507
11, 12, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00012.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00013.png', 3.363644919507724
12, 13, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00013.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00014.png', 3.4091681348860674
13, 14, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00014.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00015.png', 3.4823107779081957
14, 15, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00015.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00016.png', 3.5796723972711484
15, 16, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00016.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00017.png', 3.5793161985497415
16, 17, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00017.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00018.png', 4.098990464123004
17, 18, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00018.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00019.png', 3.8547518824506
18, 19, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00019.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00020.png', 3.8059982911342454
19, 20, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00020.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/1/flow_x_00021.png', 4.425553449778187
