0, 1, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00001.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00002.png', 6.738015353974173
1, 2, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00002.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00003.png', 7.0341902602598525
2, 3, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00003.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00004.png', 5.104328349376966
3, 4, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00004.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00005.png', 5.232465292104662
4, 5, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00005.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00006.png', 5.042666842598911
5, 6, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00006.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00007.png', 6.025811455350469
6, 7, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00007.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00008.png', 5.82336551418907
7, 8, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00008.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00009.png', 5.499688451729068
8, 9, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00009.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00010.png', 5.210666623810866
9, 10, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00010.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00011.png', 4.872963648076888
10, 11, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00011.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00012.png', 4.6837855836104305
11, 12, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00012.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00013.png', 5.304157369591351
12, 13, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00013.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00014.png', 4.62178521530916
13, 14, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00014.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00015.png', 4.552886715484697
14, 15, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00015.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00016.png', 4.896520896770204
15, 16, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00016.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00017.png', 4.271108345698211
16, 17, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00017.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00018.png', 5.115849003729447
17, 18, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00018.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00019.png', 4.814786301099546
18, 19, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00019.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00020.png', 5.247701098242182
19, 20, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00020.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00021.png', 4.2044176910451405
20, 21, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00021.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/3/flow_y_00022.png', 4.9749156383489535
