0, 1, './GTEA61/processed_frames2/S4/pour_water,cup/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/pour_water,cup/1/rgb/rgb0002.png', 5.107552012413842
1, 2, './GTEA61/processed_frames2/S4/pour_water,cup/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/pour_water,cup/1/rgb/rgb0003.png', 5.032823214583911
2, 3, './GTEA61/processed_frames2/S4/pour_water,cup/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/pour_water,cup/1/rgb/rgb0004.png', 5.029364283211158
3, 4, './GTEA61/processed_frames2/S4/pour_water,cup/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/pour_water,cup/1/rgb/rgb0005.png', 5.185169291150363
4, 5, './GTEA61/processed_frames2/S4/pour_water,cup/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/pour_water,cup/1/rgb/rgb0006.png', 5.3333731436909195
5, 6, './GTEA61/processed_frames2/S4/pour_water,cup/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/pour_water,cup/1/rgb/rgb0007.png', 4.912352320957989
6, 7, './GTEA61/processed_frames2/S4/pour_water,cup/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/pour_water,cup/1/rgb/rgb0008.png', 5.053199679562759
7, 8, './GTEA61/processed_frames2/S4/pour_water,cup/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/pour_water,cup/1/rgb/rgb0009.png', 5.1297858723500465
8, 9, './GTEA61/processed_frames2/S4/pour_water,cup/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/pour_water,cup/1/rgb/rgb0010.png', 4.757373587729872
9, 10, './GTEA61/processed_frames2/S4/pour_water,cup/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/pour_water,cup/1/rgb/rgb0011.png', 4.704612204375647
10, 11, './GTEA61/processed_frames2/S4/pour_water,cup/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/pour_water,cup/1/rgb/rgb0012.png', 4.712219477552227
