0, 1, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0002.png', 5.478162973043095
1, 2, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0003.png', 5.350161947040675
2, 3, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0004.png', 5.233098089653121
3, 4, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0005.png', 4.9381644573944
4, 5, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0006.png', 5.218315316877885
5, 6, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0007.png', 5.307654759064189
6, 7, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0008.png', 5.222059355083669
7, 8, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0009.png', 5.164567030242801
8, 9, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0010.png', 4.794966283422085
9, 10, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0011.png', 4.488732188680098
10, 11, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0012.png', 4.57046180801694
11, 12, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0013.png', 4.892181654684696
12, 13, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0013.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0014.png', 4.750097786448544
13, 14, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0014.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0015.png', 4.935407265420604
14, 15, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0015.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0016.png', 4.893170771915999
15, 16, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0016.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0017.png', 4.662392282530205
16, 17, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0017.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0018.png', 5.489748941017506
17, 18, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0018.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0019.png', 5.599298597633392
18, 19, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0019.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0020.png', 5.910446279323254
19, 20, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0020.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0021.png', 5.962148951733942
20, 21, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0021.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0022.png', 5.821407511261813
21, 22, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0022.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0023.png', 5.461552387257073
22, 23, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0023.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0024.png', 5.390800905507104
23, 24, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0024.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/3/rgb/rgb0025.png', 5.21104039437769
