0, 1, './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0001.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0002.png', 0.2020239928863118
1, 2, './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0002.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0003.png', 0.19169812181682894
2, 3, './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0003.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0004.png', 0.18582043251299266
3, 4, './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0004.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0005.png', 0.1773835124163407
4, 5, './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0005.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0006.png', 0.17528483083628177
5, 6, './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0006.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0007.png', 0.13357840287795342
6, 7, './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0007.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0008.png', 0.13617318302229933
7, 8, './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0008.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0009.png', 0.12903519060714744
8, 9, './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0009.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0010.png', 0.14591936250585888
9, 10, './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0010.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0011.png', 0.3514169047733986
10, 11, './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0011.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0012.png', 0.2563566902992166
11, 12, './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0012.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0013.png', 0.207635036165422
12, 13, './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0013.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0014.png', 0.20079242659087657
13, 14, './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0014.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0015.png', 0.21843386915709415
14, 15, './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0015.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0016.png', 0.21198104987628769
15, 16, './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0016.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0017.png', 0.1862144401899311
16, 17, './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0017.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/3/mmaps/map0018.png', 0.2101884919134368
