0, 1, './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00002.png', 5.635042077316004
1, 2, './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00003.png', 5.96687984692579
2, 3, './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00004.png', 6.291131496730402
3, 4, './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00005.png', 5.930444375595064
4, 5, './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00006.png', 6.153081021260878
5, 6, './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00007.png', 5.970179980191274
6, 7, './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00008.png', 5.340778888126161
7, 8, './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00009.png', 4.880317577306573
8, 9, './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00010.png', 4.353833244347374
9, 10, './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00011.png', 4.311235688270088
10, 11, './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00012.png', 4.414909074542114
11, 12, './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00013.png', 3.956965962449267
12, 13, './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00014.png', 4.75993212222343
13, 14, './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00015.png', 4.2171136697715
14, 15, './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00016.png', 4.572815438208544
15, 16, './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00017.png', 4.819679177947179
16, 17, './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00018.png', 5.225166427890741
17, 18, './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00019.png', 4.821468675500174
18, 19, './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00020.png', 4.951266586089536
19, 20, './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S4/put_cheese,bread/1/flow_x_00021.png', 4.657746780329395
