0, 1, './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00002.png', 6.3715003049986025
1, 2, './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00003.png', 6.207841462363718
2, 3, './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00004.png', 6.227237353615901
3, 4, './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00005.png', 5.915666605958684
4, 5, './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00006.png', 5.847704707376329
5, 6, './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00007.png', 5.652249995332366
6, 7, './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00008.png', 6.024928593778681
7, 8, './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00009.png', 5.657446963496296
8, 9, './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00010.png', 5.543547633374547
9, 10, './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00011.png', 6.139353053743616
10, 11, './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00012.png', 5.345855923408592
11, 12, './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00013.png', 5.959408153833167
12, 13, './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00014.png', 4.045837402072383
13, 14, './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00015.png', 4.150004861639773
14, 15, './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00016.png', 4.155135295855911
15, 16, './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00017.png', 4.348683604763149
16, 17, './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00018.png', 3.9960401449133016
17, 18, './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00019.png', 3.668058202097926
18, 19, './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S4/put_hotdog,bread/1/flow_x_00020.png', 3.925176993296331
