0, 1, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0001.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0002.png', 0.3666408960550442
1, 2, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0002.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0003.png', 0.2946544447330079
2, 3, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0003.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0004.png', 0.2287772267373494
3, 4, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0004.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0005.png', 0.17385069353331004
4, 5, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0005.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0006.png', 0.19609394850716666
5, 6, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0006.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0007.png', 0.17840722041526322
6, 7, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0007.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0008.png', 0.1754190622300176
7, 8, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0008.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0009.png', 0.14587165370734875
8, 9, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0009.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0010.png', 0.12634471483653428
9, 10, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0010.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0011.png', 0.5764928484202525
10, 11, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0011.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0012.png', 0.4140346113476616
11, 12, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0012.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0013.png', 0.3510889333995709
12, 13, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0013.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0014.png', 0.31939043445700516
13, 14, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0014.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0015.png', 0.2351933818192415
14, 15, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0015.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0016.png', 0.2870166096192075
15, 16, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0016.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0017.png', 0.2814898439887782
16, 17, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0017.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0018.png', 0.25758405290370134
17, 18, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0018.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0019.png', 0.23773908933122184
18, 19, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0019.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0020.png', 0.18970309791274578
19, 20, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0020.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0021.png', 0.20981253231939523
20, 21, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0021.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0022.png', 0.2546262416664246
21, 22, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0022.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0023.png', 0.2410627234516569
22, 23, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0023.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0024.png', 0.4028322611877896
23, 24, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0024.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0025.png', 0.4167897446188701
24, 25, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0025.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/mmaps/map0026.png', 0.4199154646819737
