0, 1, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00001.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00002.png', 4.047188789048863
1, 2, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00002.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00003.png', 4.008620021972954
2, 3, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00003.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00004.png', 4.557952620267246
3, 4, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00004.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00005.png', 4.872968116939296
4, 5, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00005.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00006.png', 5.015828765852985
5, 6, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00006.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00007.png', 4.759453002917827
6, 7, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00007.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00008.png', 4.581890316897831
7, 8, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00008.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00009.png', 3.780115896428779
8, 9, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00009.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00010.png', 4.479881338037868
9, 10, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00010.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00011.png', 4.599479312747982
10, 11, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00011.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00012.png', 4.951080605626738
11, 12, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00012.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00013.png', 5.181560667560835
12, 13, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00013.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00014.png', 4.95451640426806
13, 14, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00014.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00015.png', 4.794806999575966
14, 15, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00015.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00016.png', 4.346994023367228
15, 16, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00016.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00017.png', 4.042514468313149
16, 17, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00017.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00018.png', 4.090011617538467
17, 18, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00018.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00019.png', 4.022499678421802
18, 19, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00019.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00020.png', 4.201415994055693
19, 20, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00020.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00021.png', 4.268359833911313
20, 21, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00021.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00022.png', 4.76165187402618
21, 22, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00022.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00023.png', 5.391368521156764
22, 23, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00023.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/4/flow_x_00024.png', 5.392521796909406
