0, 1, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0002.png', 0.22228483068568797
1, 2, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0003.png', 0.2217538901107938
2, 3, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0004.png', 0.23079033826246936
3, 4, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0005.png', 0.21525860460877236
4, 5, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0006.png', 0.17385069353331004
5, 6, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0007.png', 0.1425189376137255
6, 7, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0008.png', 0.15141869364503066
7, 8, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0009.png', 0.16083659285745053
8, 9, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0010.png', 0.12604465962055975
9, 10, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0011.png', 0.3271108455939155
10, 11, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0012.png', 0.24963628107836322
11, 12, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0013.png', 0.19493405071648176
12, 13, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0014.png', 0.1520307598683031
13, 14, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0015.png', 0.1430955383310932
14, 15, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0016.png', 0.11611507530476972
15, 16, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0017.png', 0.13165861409831175
16, 17, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0018.png', 0.12848858225481177
17, 18, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0019.png', 0.1325457807576122
18, 19, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0020.png', 0.14990846969003688
19, 20, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0021.png', 0.17938440565831132
20, 21, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0022.png', 0.1919144962929828
21, 22, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0023.png', 0.1567112312272712
22, 23, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0024.png', 0.14668199474433563
23, 24, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0024.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0025.png', 0.13052221597347322
24, 25, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0025.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0026.png', 0.16065197886550844
25, 26, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0026.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0027.png', 0.16825237019772987
26, 27, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0027.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0028.png', 0.16797979916251893
27, 28, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0028.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0029.png', 0.15268897039187979
28, 29, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0029.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0030.png', 0.1550318609995228
29, 30, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0030.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0031.png', 0.1835377859660015
30, 31, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0031.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0032.png', 0.14692004460834163
31, 32, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0032.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0033.png', 0.14867760855275244
32, 33, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0033.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0034.png', 0.16368870609844755
33, 34, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0034.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0035.png', 0.1577809142931848
34, 35, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0035.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0036.png', 0.22191731211325857
35, 36, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0036.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0037.png', 0.2266351994205362
36, 37, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0037.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0038.png', 0.19887552504136874
37, 38, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0038.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0039.png', 0.2982047499531305
38, 39, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0039.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0040.png', 0.2446411450227123
39, 40, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0040.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0041.png', 0.2349142334438779
40, 41, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0041.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0042.png', 0.2511107520437417
41, 42, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0042.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0043.png', 0.2234673585322085
42, 43, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0043.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0044.png', 0.22659470277392843
43, 44, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0044.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0045.png', 0.2553959773028362
44, 45, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0045.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0046.png', 0.25219475739089503
45, 46, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0046.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0047.png', 0.22590579812279576
46, 47, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0047.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0048.png', 0.1923901935606281
47, 48, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0048.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0049.png', 0.2049847171974279
48, 49, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0049.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0050.png', 0.2623154418447173
49, 50, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0050.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0051.png', 0.16217283652547718
50, 51, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0051.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0052.png', 0.14548979513333618
51, 52, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0052.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0053.png', 0.09231275583530385
52, 53, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0053.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0054.png', 0.019189173506139693
53, 54, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0054.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0055.png', -0.0
54, 55, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0055.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0056.png', 0.0089242343066975
55, 56, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0056.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0057.png', 0.01649736862931219
56, 57, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0057.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0058.png', 0.027476996851617398
57, 58, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0058.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0059.png', 0.050632521202520236
58, 59, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0059.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/mmaps/map0060.png', 0.07078952714564489
