0, 1, './GTEA61/flow_y_processed/S1/pour_mayonnaise,cheese,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S1/pour_mayonnaise,cheese,bread/1/flow_y_00002.png', 6.6164150642111945
1, 2, './GTEA61/flow_y_processed/S1/pour_mayonnaise,cheese,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S1/pour_mayonnaise,cheese,bread/1/flow_y_00003.png', 6.98893092686002
2, 3, './GTEA61/flow_y_processed/S1/pour_mayonnaise,cheese,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S1/pour_mayonnaise,cheese,bread/1/flow_y_00004.png', 5.349206124589724
3, 4, './GTEA61/flow_y_processed/S1/pour_mayonnaise,cheese,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S1/pour_mayonnaise,cheese,bread/1/flow_y_00005.png', 5.413952752415075
4, 5, './GTEA61/flow_y_processed/S1/pour_mayonnaise,cheese,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S1/pour_mayonnaise,cheese,bread/1/flow_y_00006.png', 4.864488384988078
5, 6, './GTEA61/flow_y_processed/S1/pour_mayonnaise,cheese,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S1/pour_mayonnaise,cheese,bread/1/flow_y_00007.png', 5.153359360952996
6, 7, './GTEA61/flow_y_processed/S1/pour_mayonnaise,cheese,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S1/pour_mayonnaise,cheese,bread/1/flow_y_00008.png', 4.872854647993404
7, 8, './GTEA61/flow_y_processed/S1/pour_mayonnaise,cheese,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S1/pour_mayonnaise,cheese,bread/1/flow_y_00009.png', 5.71903553347725
8, 9, './GTEA61/flow_y_processed/S1/pour_mayonnaise,cheese,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S1/pour_mayonnaise,cheese,bread/1/flow_y_00010.png', 5.3072817364045015
9, 10, './GTEA61/flow_y_processed/S1/pour_mayonnaise,cheese,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S1/pour_mayonnaise,cheese,bread/1/flow_y_00011.png', 5.300557728069579
10, 11, './GTEA61/flow_y_processed/S1/pour_mayonnaise,cheese,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S1/pour_mayonnaise,cheese,bread/1/flow_y_00012.png', 4.457696160943982
