0, 1, './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00002.png', 5.530425208298652
1, 2, './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00003.png', 5.234932914339702
2, 3, './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00004.png', 5.510772736878786
3, 4, './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00005.png', 5.027159017637295
4, 5, './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00006.png', 4.55939317926138
5, 6, './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00007.png', 4.576220586639986
6, 7, './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00008.png', 4.53653105593868
7, 8, './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00009.png', 4.997001511161512
8, 9, './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00010.png', 4.454403712487673
9, 10, './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00011.png', 4.050501418789024
10, 11, './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00012.png', 4.169176878552778
11, 12, './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00013.png', 3.6279590375513164
12, 13, './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00014.png', 3.8093203526271133
13, 14, './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00015.png', 3.843788649634599
14, 15, './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00016.png', 3.9133488995208707
15, 16, './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00017.png', 3.7962877092779705
16, 17, './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00018.png', 3.3755005831613816
17, 18, './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00019.png', 3.5901244381317907
18, 19, './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00020.png', 3.41789928294
19, 20, './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S1/put_hotdog,bread/1/flow_x_00021.png', 4.325849158099056
