0, 1, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00001.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00002.png', 5.336831311875915
1, 2, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00002.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00003.png', 5.624074100141539
2, 3, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00003.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00004.png', 5.588690130177935
3, 4, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00004.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00005.png', 6.436153991703031
4, 5, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00005.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00006.png', 5.1240658731500215
5, 6, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00006.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00007.png', 4.588579708939529
6, 7, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00007.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00008.png', 5.175081761136923
7, 8, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00008.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00009.png', 5.401392605370683
8, 9, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00009.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00010.png', 4.538049036805383
9, 10, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00010.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00011.png', 5.159843926672769
10, 11, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00011.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00012.png', 5.033067627712764
11, 12, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00012.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00013.png', 4.387183109544737
12, 13, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00013.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00014.png', 5.133930876186925
13, 14, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00014.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00015.png', 4.291817495011054
14, 15, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00015.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00016.png', 4.189171497607465
15, 16, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00016.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00017.png', 5.380206594990122
16, 17, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00017.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00018.png', 4.803022964608374
17, 18, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00018.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00019.png', 3.9394056935502455
18, 19, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00019.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00020.png', 5.7796208988585605
19, 20, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00020.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00021.png', 4.053573072648956
20, 21, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00021.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00022.png', 4.645297343665831
21, 22, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00022.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00023.png', 5.36101320245672
22, 23, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00023.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00024.png', 4.10564729733308
23, 24, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00024.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00025.png', 4.123087839984079
24, 25, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00025.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00026.png', 6.344373344023069
25, 26, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00026.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00027.png', 5.060474514522378
26, 27, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00027.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00028.png', 5.718963848391014
27, 28, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00028.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00029.png', 4.585799289472483
28, 29, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00029.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00030.png', 4.9090833544684145
29, 30, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00030.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00031.png', 4.471889255370816
30, 31, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00031.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00032.png', 5.133949957946478
31, 32, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00032.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00033.png', 5.783760099050059
32, 33, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00033.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00034.png', 4.869794204182414
33, 34, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00034.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00035.png', 5.876603256497989
34, 35, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00035.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00036.png', 4.864363633738778
35, 36, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00036.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00037.png', 4.847683400328917
36, 37, './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00037.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/2/flow_y_00038.png', 4.845685490390846
