0, 1, './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0002.png', 5.663062433544773
1, 2, './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0002.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0003.png', 5.384903362048369
2, 3, './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0003.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0004.png', 5.200657089457685
3, 4, './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0004.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0005.png', 5.340271801512169
4, 5, './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0005.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0006.png', 5.363977795071295
5, 6, './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0006.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0007.png', 5.314427291611248
6, 7, './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0007.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0008.png', 4.948902646675828
7, 8, './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0008.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0009.png', 5.180678552273252
8, 9, './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0009.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0010.png', 4.644345919853127
9, 10, './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0010.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0011.png', 4.868625274949414
10, 11, './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0011.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0012.png', 4.731225613610651
11, 12, './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0012.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0013.png', 4.784674387176231
12, 13, './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0013.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0014.png', 4.856532685283392
13, 14, './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0014.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0015.png', 4.638513882430011
14, 15, './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0015.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0016.png', 4.740956356087686
15, 16, './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0016.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0017.png', 5.053018870650502
16, 17, './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0017.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0018.png', 5.078091168872747
17, 18, './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0018.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0019.png', 4.855478329169772
18, 19, './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0019.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0020.png', 5.262438043584863
19, 20, './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0020.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0021.png', 4.82864863927648
20, 21, './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0021.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0022.png', 4.942415292315755
21, 22, './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0022.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0023.png', 4.572218492732479
22, 23, './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0023.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0024.png', 5.024317047282743
23, 24, './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0024.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0025.png', 4.791476289117267
24, 25, './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0025.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0026.png', 4.664670050671331
25, 26, './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0026.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/rgb/rgb0027.png', 4.675917659006484
