0, 1, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0002.png', 5.4924239109605075
1, 2, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0003.png', 5.419463217455686
2, 3, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0004.png', 5.394669336292505
3, 4, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0005.png', 5.056288424972501
4, 5, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0006.png', 5.332961269391462
5, 6, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0007.png', 5.4618312235753965
6, 7, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0008.png', 5.38830461536008
7, 8, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0009.png', 4.736357676026187
8, 9, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0010.png', 5.137001628614942
9, 10, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0011.png', 5.200184516101681
10, 11, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0012.png', 5.434467591914483
11, 12, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0013.png', 4.990048697351907
12, 13, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0014.png', 4.828965854435383
13, 14, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0015.png', 4.493483788134328
14, 15, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0016.png', 4.704116419250132
15, 16, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0017.png', 4.645127679562348
16, 17, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0018.png', 4.314083849341998
17, 18, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0019.png', 4.62600083449107
18, 19, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0020.png', 4.53619917417689
19, 20, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0021.png', 4.639131270746009
20, 21, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0022.png', 4.643424257134982
21, 22, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0023.png', 4.733546343379234
22, 23, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0024.png', 4.331511173055561
23, 24, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0025.png', 4.421312523565406
24, 25, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0026.png', 5.4258694985938405
25, 26, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0027.png', 6.24290403343696
26, 27, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0028.png', 6.365239004706392
27, 28, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0029.png', 6.157539567520908
28, 29, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/rgb/rgb0030.png', 6.050781657238939
