0, 1, './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00002.png', 6.6176466663627975
1, 2, './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00003.png', 6.281343100919877
2, 3, './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00004.png', 5.661959887977767
3, 4, './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00005.png', 6.312195895655796
4, 5, './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00006.png', 6.728772072814484
5, 6, './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00007.png', 5.580081268093664
6, 7, './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00008.png', 5.811439062117636
7, 8, './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00009.png', 6.14067767191175
8, 9, './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00010.png', 6.330174389377345
9, 10, './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00011.png', 5.911234963538356
10, 11, './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00012.png', 5.197885518772649
11, 12, './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00013.png', 5.205971854367281
12, 13, './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00014.png', 4.606647912464931
13, 14, './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00015.png', 4.647653805790796
14, 15, './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00016.png', 4.835630868541145
15, 16, './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00017.png', 4.336227856629108
16, 17, './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00018.png', 4.663107524669512
17, 18, './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00019.png', 4.2127220478967695
18, 19, './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S4/put_hotdog,bread/1/flow_y_00020.png', 4.291247072686685
