0, 1, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0001.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0002.png', 0.45001551349750635
1, 2, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0002.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0003.png', 0.30212510915317947
2, 3, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0003.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0004.png', 0.08839331468191235
3, 4, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0004.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0005.png', 0.06830355452720487
4, 5, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0005.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0006.png', 0.034872411069021975
5, 6, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0006.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0007.png', 0.04221575224090396
6, 7, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0007.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0008.png', 0.04643487661351299
7, 8, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0008.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0009.png', 0.05139854830122566
8, 9, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0009.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0010.png', 0.038513958246710514
9, 10, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0010.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0011.png', 0.573545610286993
10, 11, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0011.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0012.png', 0.42214709322415245
11, 12, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0012.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0013.png', 0.30640830142550346
12, 13, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0013.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0014.png', 0.0716132010539629
13, 14, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0014.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0015.png', 0.061191523312341185
14, 15, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0015.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0016.png', 0.06094693404001156
15, 16, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0016.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0017.png', 0.053743933638077626
16, 17, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0017.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0018.png', 0.04101238817773743
17, 18, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0018.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0019.png', 0.042615183152034414
18, 19, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0019.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0020.png', 0.030078339594110798
19, 20, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0020.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0021.png', 0.209394483973458
20, 21, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0021.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0022.png', 0.2654986483135758
21, 22, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0022.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0023.png', 0.3424673110840696
22, 23, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0023.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0024.png', 0.30760640937925443
23, 24, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0024.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0025.png', 0.2770976097771219
24, 25, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0025.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0026.png', 0.2726349787330489
25, 26, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0026.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0027.png', 0.2675734489918551
26, 27, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0027.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0028.png', 0.268401297360787
27, 28, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0028.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0029.png', 0.2728589196221803
28, 29, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0029.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0030.png', 0.27902093380104176
29, 30, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0030.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0031.png', 0.3169339028398111
30, 31, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0031.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0032.png', 0.3034380689396425
31, 32, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0032.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0033.png', 0.3318662334379668
32, 33, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0033.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0034.png', 0.2734929535677299
33, 34, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0034.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0035.png', 0.1904413124873063
34, 35, './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0035.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/mmaps/map0036.png', 0.3435640148036104
