0, 1, './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00002.png', 6.2545251108155675
1, 2, './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00003.png', 6.470682936899449
2, 3, './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00004.png', 5.917871063063398
3, 4, './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00005.png', 6.3057805616160945
4, 5, './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00006.png', 5.3856815559038145
5, 6, './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00007.png', 5.665422924952655
6, 7, './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00008.png', 5.652983254391601
7, 8, './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00009.png', 5.375915337428823
8, 9, './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00010.png', 5.409541481386085
9, 10, './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00011.png', 5.3601477919833584
10, 11, './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00012.png', 5.25797806252855
11, 12, './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00013.png', 5.213952353258313
12, 13, './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00014.png', 5.121797125337571
13, 14, './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00015.png', 5.21636716738132
14, 15, './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00016.png', 4.951471775426869
15, 16, './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S1/put_bread,bread/1/flow_y_00017.png', 4.696148034915708
